date,sentiment_fear_greed,sentiment_fear_greed_regime
2026-07-30,28.0,1.0
2026-07-31,25.0,0.0
2026-08-01,27.0,1.0
2026-08-02,27.0,1.0
2026-08-03,28.0,1.0
2026-08-04,25.0,0.0
2026-08-05,27.0,1.0
2026-08-06,25.0,0.0
2026-08-07,29.0,1.0
2026-08-08,30.0,1.0
2026-08-09,31.0,1.0
2026-08-10,30.0,1.0
2026-08-11,29.0,1.0
2026-08-12,27.0,1.0
2026-08-13,29.0,1.0
2026-08-14,29.0,1.0
2026-08-15,34.0,1.0
2026-08-16,34.0,1.0
2026-08-17,31.0,1.0
2026-08-18,41.0,1.0
2026-08-19,46.0,1.0
2026-08-20,62.0,3.0
2026-08-21,72.0,3.0
2026-08-22,71.0,3.0
2026-08-23,66.0,3.0
2026-08-24,73.0,3.0
2026-08-25,74.0,3.0
2026-08-26,65.0,3.0
2026-08-27,71.0,3.0
2026-08-28,73.0,3.0
2026-08-29,68.0,3.0
2026-08-30,69.0,3.0
2026-08-31,62.0,3.0
2026-09-01,69.0,3.0
2026-09-02,63.0,3.0
2026-09-03,65.0,3.0
2026-09-04,74.0,3.0
2026-09-05,73.0,3.0
2026-09-06,73.0,3.0
2026-09-07,71.0,3.0
2026-09-08,69.0,3.0
2026-09-09,66.0,3.0
2026-09-10,69.0,3.0
2026-09-11,56.0,3.0
2026-09-12,63.0,3.0
2026-09-13,61.0,3.0
