,deribit_eth_option_open_interest_sum,deribit_eth_option_volume_sum,deribit_eth_option_volume_usd_sum,deribit_eth_option_mark_price_mean,deribit_eth_option_underlying_price_mean,deribit_eth_option_mark_iv_mean,deribit_eth_option_put_call_oi_ratio
2026-09-13,1775148.0,25831.0,709242.76,0.2155460388127854,2534.5904908675807,63.64808219178082,0.5427832444242813
2026-09-14,1777439.0,119736.0,3747001.05,0.2303134554455445,2539.424542079208,68.05571782178218,0.5102051740427817
2026-09-15,1889580.0,193348.0,5060650.9799999995,0.23279150366748166,2490.4273471882643,70.23865525672372,0.49908963613212376
