,deribit_eth_future_open_interest_sum,deribit_eth_future_volume_sum,deribit_eth_future_volume_usd_sum,deribit_eth_future_mark_price_mean,deribit_eth_future_current_funding_mean,deribit_eth_future_funding_8h_mean
2026-09-13,458171398.0,23932.834319,60506997.0,2531.806923076924,0.0,9.8e-05
2026-09-14,461770830.0,75289.789458,187942815.0,2535.097692307692,4.4e-05,0.000118
2026-09-15,462328250.0,73896.632536,186418575.0,2492.0958333333333,0.0,5e-06
2026-09-16,465420170.0,104617.612534,252411902.0,2414.728333333333,0.0,4.1e-05
2026-09-17,468892076.0,76567.442784,184800521.0,2457.6208333333334,0.000123,7.6e-05
2026-09-18,462081556.0,75641.38025199997,186238532.0,2505.403846153846,8.7e-05,6.3e-05
2026-09-19,461817293.0,91158.380358,233040715.0,2643.5884615384616,5.1e-05,6.9e-05
2026-09-20,457644142.0,41300.77064,108200177.0,2593.673846153846,7.2e-05,7.5e-05
2026-09-21,458627436.0,65435.417885,173324526.0,2687.7966666666666,0.000323,7.6e-05
2026-09-22,471158267.0,102817.398973,281821682.0,2742.375,0.0,9e-05
2026-09-23,463119404.0,62987.331689000006,173524339.0,2762.2166666666667,0.0,2.9e-05
2026-09-24,456282120.0,78435.610978,211054245.0,2711.7625000000003,0.0,9e-06
2026-09-25,408877716.0,98563.617857,263710053.0,2699.4035714285715,0.0,0.0
2026-09-26,411807526.0,55408.252386,149691293.0,2713.381428571429,0.0,0.0
